Month,Week,ManagedObjectid,Usage,MeterType
,,,,
May,1,22723917,2000,Integrated
,,,,
May,1,22723604,2000,Integrated
,,,,
May,1,22724266,2000,Integrated
,,,,
May,1,22724235,1000,Integrated
,,,,
May,1,71786787,3000,Integrated
,,,,
May,1,22723757,3000,Integrated
,,,,
May,1,22724254,2000,Integrated
,,,,
May,1,29531150,3000,Integrated
,,,,
May,1,71786658,5000,Integrated
,,,,
May,1,22723568,2000,Integrated
,,,,
May,1,22724017,2000,Integrated
,,,,
May,1,71778964,1000,Integrated
,,,,
May,1,22723004,3000,Integrated
,,,,
May,1,22723371,1000,Integrated
,,,,
May,1,22723402,1000,Integrated
,,,,
May,1,22723090,2000,Integrated
,,,,
May,1,22722953,0,Integrated
,,,,
May,1,22723412,3000,Integrated
,,,,
May,1,22724227,6000,Integrated
,,,,
May,1,71786763,3000,Integrated
,,,,
May,1,22723786,0,Integrated
,,,,
May,1,22723680,4000,Integrated
,,,,
May,1,22723013,2000,Integrated
,,,,
May,1,22723945,0,Integrated
,,,,
May,1,22724215,2000,Integrated
,,,,
May,1,71786703,0,Integrated
,,,,
May,1,22723292,0,Integrated
,,,,
May,1,71786637,0,Integrated
,,,,
May,1,71786790,1000,Integrated
,,,,
May,1,71786560,2000,Integrated
,,,,
May,1,22724163,1000,Integrated
,,,,
May,1,22723705,3000,Integrated
,,,,
May,1,22723847,2000,Integrated
,,,,
May,1,71786597,3000,Integrated
,,,,
May,1,22723364,1000,Integrated
,,,,
May,1,22724062,1000,Integrated
,,,,
May,1,22724101,2000,Integrated
,,,,
May,1,71778962,5000,Integrated
,,,,
May,1,22724246,2000,Integrated
,,,,
May,1,22723726,1000,Integrated
,,,,
May,1,22723127,0,Integrated
,,,,
May,1,22723108,4000,Integrated
,,,,
May,1,71786725,4000,Integrated
,,,,
May,1,22723880,0,Integrated
,,,,
May,1,22723472,5000,Integrated
,,,,
May,1,22723884,1000,Integrated
,,,,
May,1,22723450,3000,Integrated
,,,,
May,1,22722661,4000,Integrated
,,,,
May,1,22723055,2000,Integrated
,,,,
May,1,71786751,2000,Integrated
,,,,
May,1,29531038,4000,Integrated
,,,,
May,1,71786802,2000,Integrated
,,,,
May,1,22722677,3000,Integrated
,,,,
May,1,22724222,2000,Integrated
,,,,
May,1,22724268,1000,Integrated
,,,,
May,1,22723792,5000,Integrated
,,,,
May,1,22723557,4000,Integrated
,,,,
May,1,22723346,2000,Integrated
,,,,
May,1,22724076,2000,Integrated
,,,,
May,1,22723379,2000,Integrated
,,,,
May,1,22723030,3000,Integrated
,,,,
May,1,29531179,2000,Integrated
,,,,
May,1,22723152,3000,Integrated
,,,,
May,1,22723246,9000,Integrated
,,,,
May,1,22722673,1000,Integrated
,,,,
May,1,71786542,2000,Integrated
,,,,
May,1,71786689,1000,Integrated
,,,,
May,1,22723483,3000,Integrated
,,,,
May,1,22723209,5000,Integrated
,,,,
May,1,22724139,3000,Integrated
,,,,
May,1,22723498,6000,Integrated
,,,,
May,1,71786657,2000,Integrated
,,,,
May,1,22723819,3000,Integrated
,,,,
May,1,22723534,1000,Integrated
,,,,
May,1,71786525,0,Integrated
,,,,
May,1,22723261,1000,Integrated
,,,,
May,1,29531175,3000,Integrated
,,,,
May,1,22723671,3000,Integrated
,,,,
May,1,22722988,3000,Integrated
,,,,
May,1,22724146,2000,Integrated
,,,,
May,1,22723685,1000,Integrated
,,,,
May,1,22722659,2000,Integrated
,,,,
May,1,22723762,1000,Integrated
,,,,
May,1,22724194,3000,Integrated
,,,,
May,1,22723672,2000,Integrated
,,,,
May,1,22723703,3000,Integrated
,,,,
May,1,22723716,1000,Integrated
,,,,
May,1,22723961,3000,Integrated
,,,,
May,1,71786503,1000,Integrated
,,,,
May,1,22723982,3000,Integrated
,,,,
May,1,29531176,1000,Integrated
,,,,
May,1,22723770,3000,Integrated
,,,,
May,1,71786519,2000,Integrated
,,,,
May,1,71786614,3000,Integrated
,,,,
May,1,22673045,0,Integrated
,,,,
May,1,22723241,2000,Integrated
,,,,
May,1,71786510,1000,Integrated
,,,,
May,1,71786652,6000,Integrated
,,,,
May,1,29531164,0,Integrated
,,,,
May,1,77759533,2000,Integrated
,,,,
May,1,71786681,2000,Integrated
,,,,
May,1,22723475,2000,Integrated
,,,,
May,1,22722996,0,Integrated
,,,,
May,1,22722928,3000,Integrated
,,,,
May,1,22540232,10000,Integrated
,,,,
May,1,22722981,0,Integrated
,,,,
May,1,22724075,2000,Integrated
,,,,
May,1,22723442,4000,Integrated
,,,,
May,1,22723859,0,Integrated
,,,,
May,1,22723912,2000,Integrated
,,,,
May,1,22723943,5000,Integrated
,,,,
May,1,22723335,5000,Integrated
,,,,
May,1,22673031,0,Integrated
,,,,
May,1,29531177,5000,Integrated
,,,,
May,1,22723274,3000,Integrated
,,,,
