Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
24528,ROBERTSTOWN,SA,869.4,1009.9,20.4,94,-33.99,139.08,341
77048,ULTIMA (POST OFFICE),VIC,869.4,1029.0,23.0,88,-35.47,143.27,79
18086,TUMBY BAY,SA,868.5,1017.0,14.7,96,-34.38,136.10,2
10011,BONNIE ROCK,WA,867.4,891.9,47.7,66,-30.47,118.38,430
8107,PERENJORI,WA,863.6,992.2,21.3,81,-29.44,116.29,290
47029,POONCARIE MAIL AGENCY,NSW,863.5,787.6,71.8,111,-33.39,142.57,53
8296,MORAWA AIRPORT,WA,860.6,842.2,-1.0,19,-29.20,116.02,271
8310,SOUTH HOLMWOOD ALERT,WA,857.8,932.1,-1.0,15,-29.03,115.55,260
8307,COOLANGATTA ALERT,WA,857.2,860.5,-1.0,18,-28.89,115.44,260
10911,LAKE GRACE,WA,855.0,997.8,21.1,20,-33.10,118.46,286
24584,MURRAY BRIDGE (PALLAMANA AERODROME),SA,852.0,928.8,-1.0,14,-35.07,139.23,45
10145,YORKRAKINE,WA,849.5,950.6,22.4,77,-31.38,117.59,300
10041,DOONGIN PEAK,WA,849.1,977.3,15.9,114,-31.62,117.44,250
15531,HERMANNSBURG,NT,849.1,681.8,82.9,77,-23.95,132.77,565
25513,PEAKE,SA,844.3,1159.2,0.0,93,-35.36,139.95,23
10102,MUKINBUDIN,WA,843.0,853.9,52.8,73,-30.92,118.21,309
18083,WUDINNA AERO,SA,842.2,811.6,65.0,21,-33.04,135.45,86
10044,BUNGULLA,WA,838.1,933.2,23.5,82,-31.62,117.54,260
12064,NOONGAAR,WA,837.1,963.7,23.8,85,-31.33,118.97,440
25562,LAMEROO (AUSTIN PLAINS),SA,836.6,927.0,-1.0,16,-35.38,140.54,110
46115,TILPA (TREVALLYN),NSW,836.3,846.1,57.6,34,-31.39,144.04,90
6111,WINDERIE AIRSTRIP,WA,835.0,625.9,-1.0,8,-25.31,115.15,200
24501,AUSTRALIA PLAINS,SA,833.4,910.9,31.7,105,-34.10,139.16,281
46126,TIBOOBURRA AIRPORT,NSW,830.8,546.9,-1.0,19,-29.44,142.06,176
77094,SWAN HILL AERODROME,VIC,818.4,902.9,-1.0,17,-35.38,143.54,71
21139,PORT PIRIE AERODROME AWS,SA,815.2,866.0,-1.0,5,-33.24,138.00,12
21063,PORT WAKEFIELD (PAREORA RNDSUP),SA,812.4,883.3,-1.0,12,-34.16,138.18,13
76000,ANNUELLO,VIC,811.3,934.2,30.9,82,-34.85,142.78,52
12011,BULLFINCH,WA,810.5,910.0,25.5,103,-30.98,119.07,362
18022,COWELL,SA,809.8,831.5,42.9,99,-33.68,136.91,12
8240,COOLANGATTA,WA,809.2,978.5,12.7,56,-28.91,115.51,270
12028,GORYA VALLEY,WA,808.9,946.5,17.5,58,-33.04,121.66,240
10077,KOORDA,WA,808.5,889.1,27.0,90,-30.83,117.48,310
6112,LYONS RIVER AIRSTRIP,WA,807.8,632.9,-1.0,8,-24.62,115.33,198
12320,SOUTHERN CROSS AIRFIELD,WA,807.6,913.0,-1.0,19,-31.24,119.36,347
18229,CULTANA (DEFENCE),SA,805.8,695.9,-1.0,2,-32.68,137.37,171
16097,ERNABELLA (PUKATJA),SA,805.0,816.3,-1.0,15,-26.26,132.18,703
10032,COWCOWING,WA,803.6,903.9,21.3,109,-31.00,117.40,300
6019,DOORAWARRAH,WA,799.9,694.3,77.3,111,-24.81,114.43,70
76050,PIRA WILD HORSE PLAINS,VIC,797.2,992.8,16.2,112,-35.26,143.37,89
10294,COODERNUPPIN,WA,791.0,898.8,9.3,44,-31.57,117.51,244
37058,URANDANGI AERODROME,QLD,784.4,858.5,-1.0,7,-21.60,138.37,179
8321,TALLERING TBRG,WA,782.8,782.8,-1.0,1,-28.38,115.85,319
5017,ONSLOW AIRPORT,WA,778.8,922.6,34.0,51,-21.67,115.11,11
45025,THARGOMINDAH AIRPORT,QLD,778.6,754.0,70.0,21,-27.99,143.82,131
6097,USELESS LOOP,WA,772.9,641.4,82.6,24,-26.12,113.40,3
12227,KOOLYANOBBING,WA,771.2,839.7,-1.0,5,-30.82,119.52,349
46129,WHITE CLIFFS AWS,NSW,761.0,782.8,-1.0,15,-30.85,143.07,158
19008,BRUCE,SA,758.6,818.8,38.5,105,-32.46,138.20,242
77039,SEA LAKE (POST OFFICE),VIC,758.2,981.2,10.8,103,-35.50,142.85,54
5084,THEVENARD ISLAND,WA,757.6,699.9,47.4,20,-21.46,115.02,5
38000,BEDOURIE,QLD,756.8,613.4,82.7,53,-24.36,139.47,91
10151,HINES HILL,WA,755.0,839.5,29.3,59,-31.53,118.10,270
47112,IVANHOE (OVERNEWTON),NSW,755.0,654.9,-1.0,3,-32.94,143.54,82
76038,MURRAYVILLE,VIC,754.8,973.7,5.9,103,-35.26,141.18,71
5007,LEARMONTH AIRPORT,WA,754.2,759.3,43.1,52,-22.24,114.10,5
7007,BOOLARDY,WA,753.4,642.0,79.4,103,-26.98,116.54,300
76067,WERRIMULL,VIC,753.2,818.1,40.0,66,-34.39,141.60,65
25006,KAROONDA,SA,752.9,1015.2,3.2,96,-35.09,139.90,72
7502,GREENOUGH RVR TBRG @ YUIN,WA,749.0,749.0,-1.0,1,-27.98,116.03,290
47107,PARINGI(KERRIBEE),NSW,749.0,799.1,41.0,40,-34.32,142.36,60
15602,JERVOIS,NT,746.8,866.3,50.0,51,-22.95,136.14,328
24531,SEDAN,SA,741.6,916.4,8.4,96,-34.57,139.30,95
7209,COBRA AIRSTRIP,WA,738.2,792.8,-1.0,4,-24.20,116.48,373
16056,YUDNAPINNA,SA,733.4,647.9,72.2,98,-32.12,137.15,128
18201,PORT AUGUSTA AERO,SA,732.4,655.5,-1.0,19,-32.51,137.72,14
47048,BROKEN HILL AIRPORT AWS,NSW,731.0,745.6,57.7,53,-32.00,141.47,281
7177,MININER,WA,729.1,744.1,48.1,53,-23.60,117.69,450
18106,NULLARBOR,SA,728.2,752.0,45.9,86,-31.45,130.90,64
17099,ARKAROOLA,SA,720.6,751.1,57.7,79,-30.31,139.34,318
7124,DALGETY DOWNS,WA,720.5,602.1,75.8,34,-25.28,116.21,400
38076,WINDORAH AIRPORT,QLD,717.8,569.6,-1.0,4,-25.41,142.66,132
10040,DOODLAKINE,WA,715.4,938.5,6.3,81,-31.61,117.88,251
25014,PARUNA,SA,713.3,848.0,21.9,83,-34.72,140.74,55
7096,YUIN,WA,712.9,723.7,48.9,89,-27.98,116.03,300
6044,DENHAM,WA,712.7,675.1,64.7,96,-25.93,113.53,6
47019,MENINDEE POST OFFICE,NSW,712.0,732.4,53.5,117,-32.39,142.42,61
46136,WANAARING (BORRONA DOWNS AWS),NSW,707.4,506.8,-1.0,3,-29.76,143.11,121
25002,PURNONG (CLAYPANS),SA,702.6,913.0,4.8,84,-34.83,139.67,92
7064,MURGOO,WA,697.5,652.0,62.4,110,-27.36,116.43,303
6034,MARRON,WA,691.1,623.5,67.7,100,-25.37,114.36,40
11008,MUNDRABILLA STATION,WA,690.2,731.9,39.4,100,-31.84,127.86,20
19031,OODLA WIRRA,SA,688.6,914.3,11.8,69,-32.89,139.06,508
25000,ALAWOONA,SA,686.5,860.3,10.5,96,-34.73,140.50,68
7208,MOUNT AUGUSTUS AIRSTRIP,WA,682.6,743.9,-1.0,8,-24.31,116.91,389
10073,KELLERBERRIN,WA,682.1,994.1,0.0,107,-31.62,117.72,250
24504,BOWER,SA,677.3,754.6,33.7,96,-34.12,139.36,115
46128,FOWLERS GAP AWS,NSW,673.6,707.9,-1.0,15,-31.09,141.70,181
38010,GLENORMISTON,QLD,665.5,648.4,61.6,100,-22.92,138.80,138
13005,LORNA GLEN,WA,665.3,734.9,43.6,56,-26.23,121.56,550
20020,YUNTA (PANARAMITEE),SA,658.0,685.3,51.4,106,-32.64,139.65,275
13024,PRENTI DOWNS,WA,655.8,614.0,52.2,24,-26.52,122.81,500
7211,DALGETY DOWNS AIRSTRIP,WA,653.6,614.1,-1.0,8,-25.27,116.22,307
12009,NORSEMAN AERO,WA,651.4,831.8,0.0,20,-32.21,121.75,263
